Column1,AEC electrolyzer,Unnamed: 1,PEM electrolyzer,Unnamed: 3,SOEC electrolyzer,Colonne2
0,P_ptg,Efficiency,P_ptg,Efficiency,P_ptg,Efficiency
1,0,0,0,0,0,94
2,0.05,0.82,0.1,0.65,0.05,94
3,0.16,0.82,0.2,0.7,0.16,94
4,0.26,0.77,0.3,0.69,0.26,94
5,0.37,0.72,0.4,0.68,0.37,94
6,0.48,0.68,0.5,0.67,0.48,94
7,0.59,0.63,0.6,0.65,0.59,91
8,0.7,0.61,0.7,0.63,0.7,87
9,0.8,0.57,0.8,0.61,0.8,83
10,0.9,0.54,0.9,0.59,0.9,80
11,1,0.52,1,0.58,1,76
